ObjectName,OrbitalRadius[km],Inclination[deg],RAAN[deg],Anomaly[deg]
STARLINK-2110,6848.89404630107,53.1582,305.5245,268.5673
STARLINK-2111,6848.90914791907,53.1609,335.2627,266.4535
STARLINK-2112,6908.33615446945,53.0669,314.3228,162.9508
STARLINK-2113,6692.38508249038,53.0423,255.2261,232.336
STARLINK-2114,6528.33857824517,53.012,213.3904,81.5632
STARLINK-2119,6840.84034423448,53.1584,329.9903,61.5856
STARLINK-2121,6848.90322173137,53.1597,305.4615,306.3843
STARLINK-2122,6848.90356156272,53.1604,282.6241,278.9483
STARLINK-2123,6848.87777921508,53.1611,305.8115,256.7776
STARLINK-2128,6688.98866933658,53.0387,253.4088,269.6326
STARLINK-2130,6848.89215040702,53.1587,330.9269,276.3783
STARLINK-2134,6848.90471222003,53.158,306.6071,270.3231
STARLINK-2135,6848.91411722215,53.1595,306.1954,276.0239
STARLINK-1954,6820.9981703037,53.0514,274.943,19.6698
STARLINK-1958,6627.03256929608,53.0265,194.7034,289.4449
STARLINK-1962,6672.90006395382,53.0347,232.7705,138.6911
STARLINK-1964,6650.47041304104,53.0314,201.9309,12.5621
STARLINK-1967,6690.46010596196,53.0375,241.8521,44.3978
STARLINK-1991,6646.23500328099,53.0306,204.921,359.0273
STARLINK-1994,6706.37190965381,53.0393,243.0013,173.1132
STARLINK-1995,6708.07646059547,53.0379,260.5173,44.8862
STARLINK-1997,6660.33054039407,53.027,233.5234,32.9672
STARLINK-2001,6742.42251342026,53.0404,269.6827,312.4871
STARLINK-2021,6660.46415908184,53.028,209.3832,253.3389
STARLINK-1609,6805.40437992696,53.1582,327.7001,132.2976
STARLINK-1655,6656.39904525065,53.0253,199.9337,314.2475
STARLINK-1704,6761.20218371961,53.0452,315.0664,302.3118
STARLINK-1972,6752.53249261782,53.044,214.4441,19.269
STARLINK-1973,6848.88462944402,53.1597,332.9682,271.5375
STARLINK-1983,6848.93013710043,53.1595,318.7751,300.475
STARLINK-1992,6848.87913554712,53.1611,240.3416,269.8781
STARLINK-2015,6836.43473165191,53.1581,239.4933,15.9153
STARLINK-2019,6705.39374886271,53.0357,182.3336,251.4741
STARLINK-2031,6848.88007752758,53.1603,318.3255,286.4172
STARLINK-2032,6679.97100968947,53.0348,248.4881,120.2161
STARLINK-2033,6820.06924288979,53.1521,314.7932,174.2975
STARLINK-2036,6756.84620209344,53.1599,318.2273,228.5535
STARLINK-2039,6848.87997021333,53.1601,333.5869,292.807
STARLINK-2040,6848.90226781906,53.1618,318.6376,278.0859
STARLINK-2041,6712.53127799576,53.1531,308.5623,348.4573
STARLINK-2083,6706.12820068689,53.0392,161.3627,333.4631
STARLINK-2068,6848.9017580723,53.159,102.6147,275.447
STARLINK-2107,6848.85036356598,53.1625,34.4971,284.6601
STARLINK-2131,6801.95220856045,53.0711,107.9592,292.8226
STARLINK-2140,6848.87131652566,53.1598,128.1533,284.9466
STARLINK-2141,6693.34389497977,53.1533,91.5122,310.3491
STARLINK-2143,6848.83805239823,53.1594,125.7927,280.9652
STARLINK-2144,6848.89170028142,53.1603,113.3003,258.1768
STARLINK-2147,6809.89032210349,53.0714,105.7706,294.7398
STARLINK-2150,6848.88621829417,53.16,128.3267,268.004
STARLINK-2156,6848.88490965392,53.1606,103.5649,270.5424
STARLINK-2159,6767.93069133852,53.154,99.5842,292.6135
STARLINK-2160,6803.77675088198,53.1572,105.8873,291.0029
STARLINK-2161,6848.88282298512,53.1587,103.3243,268.961
STARLINK-2162,6682.1134247739,53.1509,78.2707,143.6754
STARLINK-2163,6710.96281564729,53.1525,85.3955,89.4883
STARLINK-2164,6848.85230414493,53.1604,102.8987,278.5904
STARLINK-2169,6733.32444112449,53.1529,97.803,355.5703
STARLINK-2170,6848.87201108519,53.1586,113.2179,263.1996
STARLINK-2178,6848.87149538217,53.1585,127.8272,269.6646
STARLINK-2180,6727.8708914222,53.1567,109.2977,305.2584
STARLINK-2185,6784.60336529233,53.154,102.085,294.2387
STARLINK-2193,6848.87666732139,53.1604,115.1875,235.6509
STARLINK-2194,6848.88148751791,53.1596,113.2699,262.0251
STARLINK-2195,6848.89018595215,53.1574,128.4007,284.4223
STARLINK-2196,6848.8960495113,53.1592,127.8099,261.7874
STARLINK-2209,6773.98616545174,53.1547,97.5551,297.8425
STARLINK-2211,6794.40826352219,53.1566,105.2107,319.8307
STARLINK-2213,6848.88422105304,53.1606,113.0762,263.299
STARLINK-2257,6848.90268813663,53.1622,154.4617,263.6725
STARLINK-2314,6825.07249584884,53.1554,125.9244,314.9552
STARLINK-2315,6848.91545270526,53.1599,148.147,265.423
STARLINK-2319,6848.87519473367,53.1584,127.85,273.5896
STARLINK-2322,6848.93136229408,53.1585,151.7988,248.8953
STARLINK-2334,6848.91223025717,53.16,149.8471,276.6441
STARLINK-2338,6848.90722518574,53.1613,147.9534,262.9334
STARLINK-2373,6841.31509801687,53.1547,147.7007,306.102
STARLINK-2377,6848.88726461063,53.1615,164.1178,259.9802
STARLINK-2379,6848.87259236904,53.1586,149.9953,281.6299
STARLINK-2380,6848.92593984749,53.158,142.9225,284.8979
STARLINK-2381,6848.9017580723,53.1624,149.8706,248.6412
STARLINK-2383,6848.87805048143,53.1575,166.7787,278.0331
STARLINK-2385,6848.88202408948,53.1568,139.2188,255.1329
STARLINK-2386,6874.94870111359,53.0919,152.9341,313.8548
